,Category,Fund Family,Net Assets,YTD Return,Yield,Morningstar Rating,Inception Date,Last Dividend,Last Cap Gain,Holdings Turnover,Average for Category,Expense,Annual Report Expense Ratio (net),Prospectus Net Expense Ratio,Prospectus Gross Expense Ratio,Max 12b1 Fee,Max Front End Sales Load,Max Deferred Sales Load,3 Yr Expense Projection,5 Yr Expense Projection,10 Yr Expense Projection,TRHistoryAvailable
0,Mid-Cap Growth,Sit,95.6M,20.32%,0.00%,★,"Jun 30, 1994",0.00,0.00,26.34%,N/A,SSMGX,1.50%,1.50%,1.50%,N/A,N/A,N/A,477,824,"1,801",True
1,Mid-Cap Growth,PGIM Funds (Prudential),3.35B,30.04%,0.00%,★★★,"Dec 30, 1996",0.00,0.00,36.00%,N/A,PEEAX,1.06%,1.06%,1.06%,0.30%,5.50%,N/A,869,"1,103","1,773",True
2,Mid-Cap Growth,TIAA Investments,1.47B,27.25%,0.04%,★★★,"Sep 30, 2002",0.00,0.00,70.00%,N/A,TCMGX,0.77%,0.77%,0.77%,0.25%,N/A,N/A,246,428,954,True
3,Mid-Cap Growth,Guggenheim Investments,86.76M,22.79%,0.00%,★★,"Jan 28, 1999",0.00,0.00,52.00%,N/A,SUFCX,2.33%,2.33%,2.36%,1.00%,N/A,1.00%,734,"1,258","2,694",True
4,Mid-Cap Growth,William Blair,2.89B,27.71%,0.00%,★★★★,"Dec 28, 2003",0.00,0.00,46.00%,N/A,WSMNX,1.35%,1.35%,1.44%,0.25%,N/A,N/A,447,778,"1,716",True
5,Mid-Cap Growth,Alger,189.73M,29.07%,0.00%,★★,"Jul 30, 1997",0.00,0.00,125.34%,N/A,AMGCX,2.11%,2.11%,2.11%,1.00%,N/A,1.00%,661,"1,134","2,441",True
6,Mid-Cap Growth,Hartford Mutual Funds,13.97B,25.07%,0.00%,★★★,"Dec 30, 1997",0.00,0.00,37.00%,N/A,HFMCX,1.11%,1.11%,1.11%,0.25%,5.50%,N/A,883,"1,128","1,827",True
7,Mid-Cap Growth,AMG Funds,97.63M,13.41%,0.08%,★★,"Jan 12, 1997",0.03,0.00,46.00%,N/A,MCMAX,1.08%,1.08%,1.09%,0.25%,N/A,N/A,346,600,"1,328",True
8,Mid-Cap Growth,Jackson Square,979.78M,19.05%,0.19%,★★★★,"Sep 18, 2016",0.05,0.00,47.00%,N/A,JSMTX,0.97%,0.97%,0.99%,0.00%,N/A,N/A,313,545,"1,211",True
9,Mid-Cap Growth,Hennessy,1.75B,25.54%,0.00%,★★★,"Jan 2, 1997",0.00,0.00,13.00%,N/A,HFCSX,1.48%,1.48%,1.48%,0.15%,N/A,N/A,468,808,"1,768",True
10,Mid-Cap Growth,JPMorgan,4.55B,28.32%,0.00%,★★★,"Nov 3, 1997",0.00,0.00,N/A,N/A,OMGCX,1.74%,1.74%,1.77%,0.75%,N/A,1.00%,554,956,"2,081",True
11,Mid-Cap Growth,Artisan,5.29B,33.63%,0.00%,★★★,"Mar 31, 2015",0.00,0.00,49.83%,N/A,APDMX,1.05%,1.05%,1.05%,N/A,N/A,N/A,334,579,"1,283",True
12,Mid-Cap Growth,Touchstone,1.2B,28.25%,0.00%,★★★★,"Mar 31, 2011",0.00,0.00,71.00%,N/A,TEGIX,0.97%,0.97%,0.97%,N/A,N/A,N/A,309,536,"1,190",True
13,Mid-Cap Growth,JPMorgan,4.55B,28.75%,0.00%,★★★,"Feb 17, 1992",0.00,0.00,N/A,N/A,OSGIX,1.24%,1.24%,1.31%,0.25%,5.25%,N/A,912,"1,199","2,015",True
14,Mid-Cap Growth,Touchstone,1.2B,28.20%,0.00%,★★★★,"Feb 1, 2009",0.00,0.00,71.00%,N/A,TEGYX,1.02%,1.02%,1.02%,N/A,N/A,N/A,325,563,"1,248",True
15,Mid-Cap Growth,AMG Funds,2.02B,28.20%,0.00%,★★★,"Feb 23, 2017",0.00,0.00,59.00%,N/A,TQMIX,1.03%,1.03%,1.03%,N/A,N/A,N/A,328,569,"1,259",True
16,Mid-Cap Growth,Riverbridge,114.55M,23.27%,0.00%,★★★★★,"Dec 30, 2012",0.00,0.00,25.00%,N/A,RIVBX,0.96%,0.96%,1.18%,N/A,N/A,N/A,353,628,"1,412",True
17,Mid-Cap Growth,Sit,162.2M,20.41%,0.00%,★★,"Sep 1, 1982",0.00,0.00,27.70%,N/A,NBNGX,1.25%,1.25%,1.25%,N/A,N/A,N/A,399,690,"1,518",True
18,Mid-Cap Growth,Wells Fargo Funds,2.57B,36.01%,0.00%,★★★★★,"Aug 30, 2006",0.00,0.00,67.00%,N/A,WFDSX,0.88%,0.88%,0.88%,0.00%,N/A,N/A,281,488,"1,084",True
19,Mid-Cap Growth,Eventide Funds,2.57B,28.04%,0.00%,★★★★,"Jul 7, 2008",0.00,0.00,38.00%,N/A,ETGLX,1.40%,1.40%,1.40%,0.20%,N/A,N/A,443,766,"1,680",True
20,Mid-Cap Growth,William Blair,2.89B,27.98%,0.00%,★★★★★,"Dec 28, 2003",0.00,0.00,46.00%,N/A,WSMDX,1.10%,1.10%,1.16%,N/A,N/A,N/A,363,633,"1,404",True
21,Mid-Cap Growth,Conestoga Capital Advisors,124.03M,28.66%,0.00%,★★★★★,"Jan 20, 2014",0.00,0.00,8.00%,N/A,CCSMX,1.10%,1.10%,2.15%,0.25%,N/A,N/A,572,"1,058","2,400",True
22,Mid-Cap Growth,Azzad Fund,88.56M,21.78%,0.00%,★★,"Dec 21, 2000",0.00,0.00,49.29%,N/A,ADJEX,0.99%,0.99%,1.15%,0.15%,N/A,N/A,315,547,"1,318",True
23,Mid-Cap Growth,Vanguard,14.2B,24.79%,0.70%,★★★,"Sep 26, 2011",0.03,0.00,25.00%,N/A,VMGMX,0.07%,0.07%,0.07%,N/A,N/A,N/A,23,40,90,True
24,Mid-Cap Growth,Federated,6.83B,28.77%,0.00%,★★★★,"Dec 28, 2016",0.00,0.00,33.00%,N/A,KAUIX,1.53%,1.53%,1.56%,N/A,N/A,N/A,493,850,"1,856",True
25,Mid-Cap Growth,Legg Mason,637.85M,23.19%,0.00%,★★★★★,"Sep 22, 2013",0.00,0.00,27.00%,N/A,LCLAX,1.59%,1.59%,1.68%,0.25%,5.75%,N/A,"1,065","1,427","2,440",True
26,Mid-Cap Growth,Baird,2.07B,29.18%,0.00%,★★★★,"Dec 28, 2000",0.00,0.00,38.00%,N/A,BMDIX,0.81%,0.81%,0.81%,N/A,N/A,N/A,259,450,"1,002",True
27,Mid-Cap Growth,PGIM Funds (Prudential),3.35B,29.32%,0.00%,★★,"Dec 30, 1996",0.00,0.00,36.00%,N/A,PEGCX,1.69%,1.69%,1.69%,1.00%,N/A,1.00%,533,918,"1,998",True
28,Mid-Cap Growth,Allianz Funds,310.2M,31.94%,0.00%,★★★,"Feb 4, 2002",0.00,0.00,60.00%,N/A,RMDCX,1.89%,1.89%,1.89%,1.00%,N/A,1.00%,594,"1,021","2,212",True
29,Mid-Cap Growth,Federated,6.83B,27.79%,0.00%,★★★★,"Apr 23, 2001",0.00,0.00,33.00%,N/A,KAUCX,2.53%,2.53%,2.56%,0.75%,N/A,1.00%,796,"1,360","2,895",True
30,Mid-Cap Growth,Baron Capital Group,231.59M,14.98%,0.00%,★★★,"May 28, 2009",0.00,0.00,1.85%,N/A,BFGIX,1.09%,1.09%,1.09%,0.00%,N/A,N/A,347,601,"1,329",True
31,Mid-Cap Growth,Invesco,1.58B,33.14%,0.00%,★★★,"Oct 31, 2000",0.00,0.00,108.00%,N/A,OEGCX,1.86%,1.86%,1.90%,1.00%,N/A,1.00%,589,"1,019","2,215",True
32,Mid-Cap Growth,Ivy Funds,4.8B,26.89%,0.00%,★★★,"Jun 29, 2000",0.00,0.00,38.00%,N/A,WMGAX,1.21%,1.21%,1.25%,0.25%,5.75%,N/A,945,"1,218","1,996",True
33,Mid-Cap Growth,Guggenheim Investments,86.76M,23.41%,0.54%,★★★,"Apr 30, 2015",0.26,0.00,52.00%,N/A,SEUPX,1.68%,1.68%,1.71%,0.25%,N/A,N/A,536,925,"2,017",True
34,Mid-Cap Growth,Aquila,313.4M,26.38%,0.00%,★★★,"Apr 30, 1996",0.00,0.00,123.00%,N/A,ATGCX,2.12%,2.12%,2.12%,1.00%,N/A,1.00%,664,"1,139","2,110",True
35,Mid-Cap Growth,Wells Fargo Funds,2.57B,35.78%,0.00%,★★★★★,"Apr 7, 2005",0.00,0.00,67.00%,N/A,WFDDX,1.13%,1.13%,1.13%,0.00%,N/A,N/A,359,622,"1,375",True
36,Mid-Cap Growth,BlackRock,4.94B,35.75%,0.00%,★★★★★,"Dec 26, 1996",0.00,0.00,43.00%,N/A,CMGIX,0.80%,0.80%,0.90%,N/A,N/A,N/A,277,489,"1,099",True
37,Mid-Cap Growth,Motley Fool,266.88M,18.80%,0.00%,★★,"Oct 31, 2010",0.00,0.00,19.00%,N/A,TMFGX,1.12%,1.12%,1.06%,N/A,N/A,N/A,356,617,"1,363",True
38,Mid-Cap Growth,Pioneer Investments,2.07B,24.49%,0.00%,★★★,"Jan 6, 2002",0.00,0.00,82.00%,N/A,GOFCX,1.78%,1.78%,1.78%,1.00%,N/A,1.00%,560,964,"2,095",True
39,Mid-Cap Growth,Virtus,417.73M,21.00%,0.00%,★★★★,"Jun 21, 2009",0.00,0.00,N/A,N/A,VMACX,1.20%,1.20%,1.39%,0.25%,5.75%,N/A,972,"1,275","2,132",True
40,Mid-Cap Growth,Madison Funds,550.58M,23.47%,0.02%,★★★★,"Jul 20, 1983",0.00,0.00,27.00%,N/A,GTSGX,0.98%,0.98%,0.98%,N/A,N/A,N/A,312,542,"1,201",True
41,Mid-Cap Growth,Principal Funds,1.12B,28.59%,0.01%,★★★,"Feb 28, 2001",0.00,0.00,44.30%,N/A,PPIMX,0.91%,0.91%,0.99%,N/A,N/A,N/A,307,539,"1,206",True
42,Mid-Cap Growth,Virtus,544.36M,34.14%,0.00%,★★★★,"Jan 1, 2001",0.00,0.00,N/A,N/A,PSKCX,2.16%,2.16%,2.18%,1.00%,N/A,1.00%,680,"1,168","2,512",True
43,Mid-Cap Growth,Principal Funds,180.84M,28.88%,0.00%,★★★,"Feb 28, 2001",0.00,0.00,114.20%,N/A,PGWIX,0.75%,0.75%,0.77%,N/A,N/A,N/A,244,426,952,True
44,Mid-Cap Growth,HSBC,133.23M,18.61%,0.00%,★★★,"Sep 2, 1996",0.00,0.00,77.00%,N/A,RESCX,1.10%,1.10%,1.39%,0.00%,N/A,N/A,412,733,"1,643",True
45,Mid-Cap Growth,Motley Fool,266.88M,18.95%,0.00%,★★,"Jun 16, 2014",0.00,0.00,19.00%,N/A,FOGIX,0.95%,0.95%,1.17%,N/A,N/A,N/A,"3,498","6,224","14,008",True
46,Mid-Cap Growth,Conestoga Capital Advisors,124.03M,28.88%,0.00%,★★★★★,"Dec 14, 2014",0.00,0.00,8.00%,N/A,CCSGX,0.85%,0.85%,1.62%,0.00%,N/A,N/A,436,809,"1,857",True
47,Mid-Cap Growth,AMG Funds,2.02B,28.07%,0.00%,★★★,"Mar 3, 2005",0.00,0.00,59.00%,N/A,TMDPX,1.18%,1.18%,1.18%,N/A,N/A,N/A,375,649,"1,432",True
48,Mid-Cap Growth,MFS,5.97B,30.20%,0.00%,★★★★,"Jul 31, 1994",0.00,0.00,33.00%,N/A,OTCCX,1.88%,1.88%,1.88%,1.00%,N/A,1.00%,591,"1,016","2,201",True
49,Mid-Cap Growth,Victory,238.17M,27.43%,0.00%,★★★★,"Apr 30, 2009",0.00,0.00,79.00%,N/A,RSSYX,1.14%,1.14%,1.21%,N/A,N/A,N/A,377,658,"1,460",True
50,Mid-Cap Growth,Neuberger Berman,1.44B,28.54%,0.00%,★★★,"May 26, 2009",0.00,0.00,50.00%,N/A,NMGAX,1.08%,1.08%,1.08%,0.25%,5.75%,N/A,899,"1,136","1,816",True
51,Mid-Cap Growth,DF Dent Funds,137.88M,33.21%,0.00%,★★★★★,"Jun 30, 2011",0.00,0.00,29.00%,N/A,DFDMX,0.98%,0.98%,1.31%,N/A,N/A,N/A,383,687,"1,550",True
52,Mid-Cap Growth,Hennessy,1.75B,25.83%,0.00%,★★★★,"May 29, 2008",0.00,0.00,13.00%,N/A,HFCIX,1.10%,1.10%,1.10%,N/A,N/A,N/A,350,606,"1,340",True
53,Mid-Cap Growth,AllianceBernstein,2.61B,25.06%,0.00%,★★★★,"Jul 6, 1938",0.00,0.00,72.00%,N/A,CHCLX,0.96%,0.96%,0.96%,0.23%,4.25%,N/A,718,933,"1,553",True
54,Mid-Cap Growth,Baird,2.07B,28.94%,0.00%,★★★★,"Dec 28, 2000",0.00,0.00,38.00%,N/A,BMDSX,1.06%,1.06%,1.06%,0.25%,N/A,N/A,337,585,"1,294",True
55,Mid-Cap Growth,Victory,509.29M,26.85%,0.00%,★★★★,"Jul 11, 1995",0.00,0.00,126.00%,N/A,RSMOX,1.20%,1.20%,1.34%,0.25%,5.75%,N/A,962,"1,254","2,083",True
56,Mid-Cap Growth,Riverbridge,114.55M,23.24%,0.00%,★★★★★,"Dec 30, 2012",0.00,0.00,25.00%,N/A,RIVRX,1.21%,1.21%,1.43%,0.25%,N/A,N/A,431,761,"1,694",True
57,Mid-Cap Growth,Wells Fargo Funds,782.69M,35.46%,0.00%,★★★★,"Jun 29, 2003",0.00,0.00,62.00%,N/A,WFEIX,0.85%,0.85%,0.92%,0.00%,N/A,N/A,286,502,"1,125",True
58,Mid-Cap Growth,Congress,1.06B,22.76%,0.01%,★★★,"Oct 30, 2012",0.00,0.00,44.00%,N/A,IMIDX,0.83%,0.83%,0.83%,N/A,N/A,N/A,265,460,"1,025",True
59,Mid-Cap Growth,American Beacon,317.89M,22.87%,0.00%,★★★★,"Jan 31, 2006",0.00,0.00,N/A,N/A,STMGX,1.25%,1.25%,1.27%,N/A,N/A,N/A,401,695,"1,532",True
60,Mid-Cap Growth,Kinetics,745.16M,20.20%,0.00%,★★,"Jun 27, 2002",0.00,0.00,3.00%,N/A,KNPCX,2.39%,2.39%,2.48%,1.00%,N/A,1.00%,764,"1,312","2,809",True
61,Mid-Cap Growth,Voya,1.18B,21.36%,0.00%,★★★,"Aug 19, 1998",0.00,0.00,103.00%,N/A,NMCAX,1.26%,1.26%,1.26%,0.25%,5.75%,N/A,952,"1,227","2,010",True
62,Mid-Cap Growth,HSBC,133.23M,17.69%,0.00%,★★,"Nov 3, 1998",0.00,0.00,77.00%,N/A,HOPCX,2.40%,2.40%,6.12%,0.75%,N/A,1.00%,"1,485","2,699","5,308",True
63,Mid-Cap Growth,BNY Mellon,2.12B,26.96%,0.00%,★★★,"Mar 30, 2009",0.00,0.00,56.70%,N/A,DBMCX,1.73%,1.73%,1.73%,0.75%,N/A,1.00%,545,939,"2,041",True
64,Mid-Cap Growth,Invesco,1.58B,33.83%,0.00%,★★★★,"Oct 31, 2000",0.00,0.00,108.00%,N/A,OEGAX,1.12%,1.12%,1.15%,0.25%,5.50%,N/A,890,"1,143","1,865",True
65,Mid-Cap Growth,JPMorgan,2.71B,21.09%,0.00%,★★,"Nov 1, 2009",0.00,0.00,34.00%,N/A,JMCCX,1.64%,1.64%,1.77%,0.75%,N/A,1.00%,545,947,"2,073",True
66,Mid-Cap Growth,Harbor,257.12M,31.42%,0.00%,★★★★,"Oct 31, 2000",0.00,0.00,85.00%,N/A,HAMGX,0.86%,0.86%,0.89%,N/A,N/A,N/A,281,490,"1,093",True
67,Mid-Cap Growth,Wells Fargo Funds,2.57B,35.00%,0.00%,★★★★,"Jul 30, 2007",0.00,0.00,67.00%,N/A,WDSCX,1.96%,1.96%,1.96%,0.75%,N/A,1.00%,615,"1,057","2,285",True
68,Mid-Cap Growth,Bright Rock,70.66M,22.91%,0.00%,★★★★,"May 25, 2010",0.00,0.00,10.60%,N/A,BQMGX,1.18%,1.18%,1.18%,N/A,N/A,N/A,375,649,"1,432",True
69,Mid-Cap Growth,RMB Funds,180.49M,22.34%,0.00%,★★,"Dec 30, 2004",0.00,0.00,16.00%,N/A,RMBMX,0.96%,0.96%,1.03%,N/A,N/A,N/A,321,562,"1,253",True
70,Mid-Cap Growth,Baron Capital Group,4.44B,31.89%,0.00%,★★★★,"Jun 11, 1987",0.00,0.00,9.87%,N/A,BARAX,1.30%,1.30%,1.30%,0.25%,N/A,N/A,412,713,"1,568",True
71,Mid-Cap Growth,AMG Funds,97.63M,13.59%,0.32%,★★,"Nov 29, 1994",0.10,0.00,46.00%,N/A,MCMYX,0.87%,0.87%,0.88%,N/A,N/A,N/A,280,487,"1,083",True
72,Mid-Cap Growth,Touchstone,1.2B,28.01%,0.00%,★★★★,"Oct 2, 1994",0.00,0.00,71.00%,N/A,TEGAX,1.27%,1.27%,1.27%,0.25%,5.00%,N/A,883,"1,162","1,957",True
73,Mid-Cap Growth,PGIM Funds (Prudential),3.35B,29.95%,0.00%,★★★,"Dec 26, 2017",0.00,0.00,36.00%,N/A,PEGEX,1.08%,1.08%,244.89%,0.25%,N/A,N/A,"10,502","10,502","10,502",True
74,Mid-Cap Growth,Federated,587.76M,25.96%,0.00%,★★★,"Aug 22, 1984",0.00,0.00,171.00%,N/A,FGSAX,1.15%,1.15%,1.29%,N/A,5.50%,N/A,936,"1,219","2,021",True
75,Mid-Cap Growth,JPMorgan,4.55B,29.03%,0.00%,★★★★,"Mar 1, 1989",0.00,0.00,N/A,N/A,HLGEX,0.93%,0.93%,1.01%,N/A,N/A,N/A,314,550,"1,229",True
76,Mid-Cap Growth,Baron Capital Group,2.38B,24.79%,0.00%,★★★★,"Apr 29, 2003",0.12,0.00,8.09%,N/A,BPTRX,2.03%,2.03%,2.03%,0.25%,N/A,N/A,637,"1,093","2,358",True
77,Mid-Cap Growth,Carillon Family of Funds,5.78B,28.26%,0.00%,★★★★,"Aug 19, 1998",0.00,0.00,44.00%,N/A,HAGAX,1.04%,1.04%,1.04%,0.25%,4.75%,N/A,790,"1,022","1,686",True
78,Mid-Cap Growth,Baron Capital Group,6.92B,30.87%,0.00%,★★★★,"May 28, 2009",0.00,0.00,2.92%,N/A,BGRIX,1.03%,1.03%,1.03%,0.00%,N/A,N/A,328,569,"1,259",True
79,Mid-Cap Growth,Franklin Templeton Investments,3.42B,24.55%,0.00%,★★,"Oct 1, 1995",0.00,0.00,54.28%,N/A,FRSIX,1.66%,1.66%,1.67%,1.00%,N/A,1.00%,526,907,"1,976",True
80,Mid-Cap Growth,Buffalo,1.78B,27.69%,0.00%,★★★★,"Apr 15, 2001",0.00,0.00,77.00%,N/A,BUFTX,1.02%,1.02%,1.02%,N/A,N/A,N/A,325,563,"1,248",True
81,Mid-Cap Growth,Eventide Funds,2.57B,28.20%,0.00%,★★★★,"Feb 1, 2010",0.00,0.00,38.00%,N/A,ETILX,1.20%,1.20%,1.20%,0.00%,N/A,N/A,381,660,"1,455",True
82,Mid-Cap Growth,Artisan,5.29B,33.50%,0.00%,★★★★,"Jun 26, 1997",0.00,0.00,49.83%,N/A,ARTMX,1.18%,1.18%,1.18%,N/A,N/A,N/A,375,649,"1,432",True
83,Mid-Cap Growth,AllianceBernstein,2.61B,24.29%,0.00%,★★★,"May 2, 1993",0.00,0.00,72.00%,N/A,CHCCX,1.74%,1.74%,1.74%,1.00%,N/A,1.00%,548,944,"2,052",True
84,Mid-Cap Growth,Carillon Family of Funds,5.78B,28.51%,0.00%,★★★★,"Jun 20, 2006",0.00,0.00,44.00%,N/A,HAGIX,0.75%,0.75%,0.75%,0.00%,N/A,N/A,240,417,930,True
85,Small Growth,Pioneer Investments,567.27M,15.15%,0.00%,★★★,"Sep 25, 2005",N/A,0.00,137.00%,N/A,GROYX,0.75%,0.75%,0.75%,0.00%,N/A,N/A,240,417,930,False
86,Mid-Cap Growth,Hartford Mutual Funds,13.97B,25.28%,0.00%,★★★,"May 28, 2009",0.00,0.00,37.00%,N/A,HFMTX,0.85%,0.85%,0.85%,N/A,N/A,N/A,271,471,"1,049",True
87,Mid-Cap Growth,Jackson Square,979.78M,18.81%,0.08%,★★★★,"Sep 18, 2016",0.02,0.00,47.00%,N/A,JSMVX,1.22%,1.22%,1.24%,0.25%,N/A,N/A,391,679,"1,498",True
88,Mid-Cap Growth,BlackRock,4.94B,35.55%,0.00%,★★★★★,"Dec 26, 1996",0.00,0.00,43.00%,N/A,CMGSX,1.05%,1.05%,1.22%,0.25%,N/A,N/A,370,654,"1,462",True
89,Mid-Cap Growth,Nicholas,917.36M,25.29%,0.57%,★★★★,"Oct 16, 1983",0.18,0.00,26.63%,N/A,NCTWX,0.60%,0.60%,0.60%,N/A,N/A,N/A,192,335,750,True
90,Mid-Cap Growth,Virtus,417.73M,21.19%,0.00%,★★★★,"Jun 21, 2009",0.00,0.00,N/A,N/A,VIMCX,0.95%,0.95%,1.14%,N/A,N/A,N/A,343,609,"1,369",True
91,Mid-Cap Growth,MFS,5.97B,30.85%,0.00%,★★★★★,"Nov 30, 1993",0.00,0.00,33.00%,N/A,OTCAX,1.13%,1.13%,1.13%,0.25%,5.75%,N/A,913,"1,161","1,871",True
